TID;CIVILSTAND;OMRÅDE;INDHOLD
2020K3 2020K3;U Ugift;169 Høje-Taastrup;23728
2020K3 2020K3;U Ugift;183 Ishøj;10873
2020K3 2020K3;U Ugift;173 Lyngby-Taarbæk;27764
2020K3 2020K3;U Ugift;175 Rødovre;20198
2020K3 2020K3;U Ugift;187 Vallensbæk;7318
2020K3 2020K3;U Ugift;201 Allerød;10605
2020K3 2020K3;U Ugift;240 Egedal;18396
2020K3 2020K3;U Ugift;210 Fredensborg;17247
2020K3 2020K3;U Ugift;250 Frederikssund;18645
2020K3 2020K3;U Ugift;190 Furesø;17505
2020K3 2020K3;U Ugift;270 Gribskov;16036
2020K3 2020K3;U Ugift;260 Halsnæs;12777
2020K3 2020K3;U Ugift;217 Helsingør;27327
2020K3 2020K3;U Ugift;219 Hillerød;23416
2020K3 2020K3;U Ugift;223 Hørsholm;9648
2020K3 2020K3;U Ugift;230 Rudersdal;24684
2020K3 2020K3;U Ugift;400 Bornholm;16066
2020K3 2020K3;U Ugift;411 Christiansø;33
2020K3 2020K3;U Ugift;085 Region Sjælland;370346
2020K3 2020K3;U Ugift;253 Greve;21065
2020K3 2020K3;U Ugift;259 Køge;27447
2020K3 2020K3;U Ugift;350 Lejre;11637
2020K3 2020K3;U Ugift;265 Roskilde;41580
2020K3 2020K3;U Ugift;269 Solrød;10065
2020K3 2020K3;U Ugift;320 Faxe;15681
2020K3 2020K3;U Ugift;376 Guldborgsund;25813
2020K3 2020K3;U Ugift;316 Holbæk;32366
2020K3 2020K3;U Ugift;326 Kalundborg;21195
2020K3 2020K3;U Ugift;360 Lolland;17056
2020K3 2020K3;U Ugift;370 Næstved;38262
2020K3 2020K3;U Ugift;306 Odsherred;13051
2020K3 2020K3;U Ugift;329 Ringsted;16089
2020K3 2020K3;U Ugift;330 Slagelse;37477
2020K3 2020K3;U Ugift;340 Sorø;13306
2020K3 2020K3;U Ugift;336 Stevns;9138
2020K3 2020K3;U Ugift;390 Vordingborg;19118
2020K3 2020K3;U Ugift;083 Region Syddanmark;569849
2020K3 2020K3;U Ugift;420 Assens;17664
2020K3 2020K3;U Ugift;430 Faaborg-Midtfyn;22137
2020K3 2020K3;U Ugift;440 Kerteminde;9831
2020K3 2020K3;U Ugift;482 Langeland;4544
2020K3 2020K3;U Ugift;410 Middelfart;16596
2020K3 2020K3;U Ugift;480 Nordfyns;12670
2020K3 2020K3;U Ugift;450 Nyborg;13827
2020K3 2020K3;U Ugift;461 Odense;112672
2020K3 2020K3;U Ugift;479 Svendborg;26281
2020K3 2020K3;U Ugift;492 Ærø;2203
2020K3 2020K3;U Ugift;530 Billund;11755
2020K3 2020K3;U Ugift;561 Esbjerg;55330
2020K3 2020K3;U Ugift;563 Fanø;1267
2020K3 2020K3;U Ugift;607 Fredericia;23752
2020K3 2020K3;U Ugift;510 Haderslev;24823
2020K3 2020K3;U Ugift;621 Kolding;44969
2020K3 2020K3;U Ugift;540 Sønderborg;32180
2020K3 2020K3;U Ugift;550 Tønder;15764
2020K3 2020K3;U Ugift;573 Varde;21706
2020K3 2020K3;U Ugift;575 Vejen;19353
2020K3 2020K3;U Ugift;630 Vejle;55161
2020K3 2020K3;U Ugift;580 Aabenraa;25364
2020K3 2020K3;U Ugift;082 Region Midtjylland;655924
2020K3 2020K3;U Ugift;710 Favrskov;21843
2020K3 2020K3;U Ugift;766 Hedensted;20335
2020K3 2020K3;U Ugift;615 Horsens;44741
2020K3 2020K3;U Ugift;707 Norddjurs;16375
2020K3 2020K3;U Ugift;727 Odder;9603
2020K3 2020K3;U Ugift;730 Randers;47342
2020K3 2020K3;U Ugift;741 Samsø;1291
2020K3 2020K3;U Ugift;740 Silkeborg;44180
2020K3 2020K3;U Ugift;746 Skanderborg;29040
2020K3 2020K3;U Ugift;706 Syddjurs;18125
2020K3 2020K3;U Ugift;751 Aarhus;208470
2020K3 2020K3;U Ugift;657 Herning;42075
2020K3 2020K3;U Ugift;661 Holstebro;27545
2020K3 2020K3;U Ugift;756 Ikast-Brande;18658
2020K3 2020K3;U Ugift;665 Lemvig;7932
2020K3 2020K3;U Ugift;760 Ringkøbing-Skjern;24244
2020K3 2020K3;U Ugift;779 Skive;20206
2020K3 2020K3;U Ugift;671 Struer;8496
2020K3 2020K3;U Ugift;791 Viborg;45423
2020K3 2020K3;U Ugift;081 Region Nordjylland;281053
2020K3 2020K3;U Ugift;810 Brønderslev;16301
2020K3 2020K3;U Ugift;813 Frederikshavn;24745
2020K3 2020K3;U Ugift;860 Hjørring;28682
2020K3 2020K3;U Ugift;849 Jammerbugt;16404
2020K3 2020K3;U Ugift;825 Læsø;607
2020K3 2020K3;U Ugift;846 Mariagerfjord;18150
2020K3 2020K3;U Ugift;773 Morsø;8804
2020K3 2020K3;U Ugift;840 Rebild;13751
2020K3 2020K3;U Ugift;787 Thisted;18757
2020K3 2020K3;U Ugift;820 Vesthimmerlands;16158
2020K3 2020K3;U Ugift;851 Aalborg;118694
2020K4 2020K4;U Ugift;000 Hele landet;2859116
2020K4 2020K4;U Ugift;084 Region Hovedstaden;981652
2020K4 2020K4;U Ugift;101 København;417782
2020K4 2020K4;U Ugift;147 Frederiksberg;61020
2020K4 2020K4;U Ugift;155 Dragør;5856
2020K4 2020K4;U Ugift;185 Tårnby;19946
2020K4 2020K4;U Ugift;165 Albertslund;13701
2020K4 2020K4;U Ugift;151 Ballerup;22707
2020K4 2020K4;U Ugift;153 Brøndby;16317
2020K4 2020K4;U Ugift;157 Gentofte;35017
2020K4 2020K4;U Ugift;159 Gladsaxe;34749
2020K4 2020K4;U Ugift;161 Glostrup;11397
2020K4 2020K4;U Ugift;163 Herlev;13798
2020K4 2020K4;U Ugift;167 Hvidovre;26566
2020K4 2020K4;U Ugift;169 Høje-Taastrup;23898
2020K4 2020K4;U Ugift;183 Ishøj;10906
2020K4 2020K4;U Ugift;173 Lyngby-Taarbæk;28229
2020K4 2020K4;U Ugift;175 Rødovre;20234
2020K4 2020K4;U Ugift;187 Vallensbæk;7276
2020K4 2020K4;U Ugift;201 Allerød;10725
2020K4 2020K4;U Ugift;240 Egedal;18371
2020K4 2020K4;U Ugift;210 Fredensborg;17211
2020K4 2020K4;U Ugift;250 Frederikssund;18591
2020K4 2020K4;U Ugift;190 Furesø;17449
2020K4 2020K4;U Ugift;270 Gribskov;15964
2020K4 2020K4;U Ugift;260 Halsnæs;12741
2020K4 2020K4;U Ugift;217 Helsingør;27234
2020K4 2020K4;U Ugift;219 Hillerød;23405
2020K4 2020K4;U Ugift;223 Hørsholm;9669
2020K4 2020K4;U Ugift;230 Rudersdal;24844
2020K4 2020K4;U Ugift;400 Bornholm;16014
2020K4 2020K4;U Ugift;411 Christiansø;35
2020K4 2020K4;U Ugift;085 Region Sjælland;369548
2020K4 2020K4;U Ugift;253 Greve;21049
2020K4 2020K4;U Ugift;259 Køge;27484
2020K4 2020K4;U Ugift;350 Lejre;11615
2020K4 2020K4;U Ugift;265 Roskilde;41680
2020K4 2020K4;U Ugift;269 Solrød;10042
2020K4 2020K4;U Ugift;320 Faxe;15597
2020K4 2020K4;U Ugift;376 Guldborgsund;25683
2020K4 2020K4;U Ugift;316 Holbæk;32373
2020K4 2020K4;U Ugift;326 Kalundborg;21198
2020K4 2020K4;U Ugift;360 Lolland;16916
2020K4 2020K4;U Ugift;370 Næstved;38021
2020K4 2020K4;U Ugift;306 Odsherred;12941
2020K4 2020K4;U Ugift;329 Ringsted;16073
2020K4 2020K4;U Ugift;330 Slagelse;37371
2020K4 2020K4;U Ugift;340 Sorø;13338
2020K4 2020K4;U Ugift;336 Stevns;9167
2020K4 2020K4;U Ugift;390 Vordingborg;19000
2020K4 2020K4;U Ugift;083 Region Syddanmark;568943
2020K4 2020K4;U Ugift;420 Assens;17526
